iter	Logloss
271	0.3289916316
272	0.3279020682
273	0.3271219617
274	0.3265567598
275	0.3261794516
276	0.3256480486
277	0.3251267853
278	0.3245092233
279	0.3241878522
280	0.3237456782
281	0.3231962773
282	0.3222464723
283	0.3219278051
284	0.32133317
285	0.3207888953
286	0.3204663413
287	0.3200182807
288	0.3193525553
289	0.3191024717
290	0.3185326788
291	0.3180967577
292	0.317595999
293	0.317320876
294	0.3169104731
295	0.3161816564
296	0.3157972504
297	0.3150118769
298	0.3145264686
299	0.3140878717
300	0.3137592902
301	0.3134708167
302	0.3130034907
303	0.3125324751
304	0.3122149909
305	0.311650972
306	0.3111194281
307	0.3108262791
308	0.3101307262
309	0.3099200183
310	0.3095407948
311	0.3090348255
312	0.3086778247
313	0.3081623635
314	0.3076850106
315	0.3071273571
316	0.3067354872
317	0.3062838778
318	0.3057719091
319	0.3054068811
320	0.3047674625
321	0.3041422395
322	0.3034800348
323	0.303188294
324	0.3029875568
325	0.3027250803
326	0.3023952032
327	0.3018470979
328	0.3013652103
329	0.3007637872
330	0.3002635637
331	0.299824319
332	0.2994148737
333	0.2987771168
334	0.2983370272
335	0.2979589866
336	0.2975479077
337	0.297219805
338	0.2969105452
339	0.2962896033
340	0.2956304687
341	0.295214517
342	0.294760429
343	0.2945385393
344	0.2941750886
345	0.2938558863
346	0.2935170243
347	0.2930694988
348	0.2925526857
349	0.2919846391
350	0.2914578553
351	0.2911436101
352	0.2905648605
353	0.2901831021
354	0.2898065825
355	0.2893305252
356	0.2887312709
357	0.2881251442
358	0.2876081902
359	0.2870690135
360	0.2867180966
361	0.2863840509
362	0.2856885825
363	0.2850226599
364	0.2847544939
365	0.2843476116
366	0.2842021356
367	0.282883134
368	0.2824380872
369	0.2817172414
370	0.2812600833
371	0.2806570267
372	0.2801600986
373	0.2797474142
374	0.2792666813
375	0.2787343489
376	0.2783894312
377	0.278012292
378	0.2776404479
379	0.2773441443
380	0.2770951029
381	0.2767406089
382	0.2765811908
383	0.276176421
384	0.2756368217
385	0.2752546408
386	0.2748452236
387	0.2745382734
388	0.2741826528
389	0.2737970638
390	0.2734528785
391	0.272829289
392	0.2724772736
393	0.2721455376
394	0.2718569796
395	0.2716105012
396	0.2711181922
397	0.2707339834
398	0.2702643479
399	0.2699883236
400	0.2694554842
401	0.2691559134
402	0.2687731128
403	0.2685032569
404	0.2682455967
405	0.2679766984
406	0.2677461055
407	0.2674435773
408	0.2670486091
409	0.2667365046
410	0.2663309461
411	0.2661035359
412	0.2656708538
413	0.2654296988
414	0.2650012415
415	0.2646510287
416	0.2643095473
417	0.2640410152
418	0.2638724996
419	0.2636450612
420	0.2632856382
421	0.2627498414
422	0.2625044051
423	0.262063893
424	0.2615716122
425	0.2612000498
426	0.2608414154
427	0.260605978
428	0.260229909
429	0.2596763959
430	0.2593453358
431	0.2589865043
432	0.2587363362
433	0.2584489049
434	0.2580861302
435	0.2575998487
436	0.2574464017
437	0.2571242983
438	0.2568270371
439	0.2565470134
440	0.2561829993
441	0.2558311811
442	0.2555340607
443	0.2552272232
444	0.2549451151
445	0.2544866895
446	0.2541383075
447	0.2537263273
448	0.2534606117
449	0.2530909645
450	0.2526075841
451	0.2520986292
452	0.2518847668
453	0.2515995323
454	0.251395387
455	0.2510299084
456	0.2508176232
457	0.2504167966
458	0.2501792186
459	0.2499171364
460	0.2496139322
461	0.2494015344
462	0.2491041605
463	0.2488797922
464	0.2485534921
465	0.2481404979
466	0.2477896655
467	0.2475856329
468	0.2471954529
469	0.2468656884
470	0.2465732435
471	0.2462036809
472	0.2459950573
473	0.2457712241
474	0.2453080385
475	0.2450756712
476	0.2447603276
477	0.2444879367
478	0.2440241033
479	0.2436718908
480	0.2433040181
481	0.2431027175
482	0.2427179172
483	0.2424484837
484	0.2421342104
485	0.2418808314
486	0.2416117641
487	0.2410152983
488	0.2406562133
489	0.2404513639
490	0.2403435454
491	0.2401558208
492	0.2398372944
493	0.2394312571
494	0.2392197043
495	0.2390274731
496	0.2387316202
497	0.2384560184
498	0.2380623459
499	0.2378974918
